"DateOfArrivalAtBIP","BorderInspectionPost","EntryBIPCountry","ConsigneeCountry","ImporterCountry","CountryofOrigin","CommodityGroup","CommodityCode","Species","Temperature","TranshipmentBIPCountry","TranshipmentBIP","TranshipmentTo3rdCountry","To3rdCountry","TransitExitBIP","ForReImport","ForInternalMarket","DateofDeclaration","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DocumentaryCheck","IdentityCheck","TotalGrossWeightKg","PhysicalCheck","LaboratoryTestsPerformed","LaboratoryTestsMotivation","LaboratoryTestConclusion","LaboratoryTestTranslation","AcceptableforInternal Market","Notacceptable","RefusalReasonCodeList","DateofDecision","YearofDecision","QuarterofDecision","MonthofDecision","DayofDecision","TotalNetWeightkg"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","23148","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","21588"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044310","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep or goats meat and sheep or goats meat products","02069099","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","18161","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","17653"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044310","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","19125","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","18632"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep or goats meat and sheep or goats meat products","02069099","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042230","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","26541","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","24969"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042300","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","26112","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","24612"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","25013","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","23503"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","26912","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","25328"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042300","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042290","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042300","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","12563","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","11806"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
"15/03/2019","Tilbury, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042290","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","0"
